,Ticker,Date,Period Ending,Estimate,Reported,Time,Surprise,Surprise %,Open Start,Open End
42,MSFT,2022-04-26,Mar-22,$2.18 ,$2.22 ,After Close,0.04,1.83%,-,-
43,MSFT,2022-01-25,Dec-21,$2.29 ,$2.48 ,After Close,0.19,8.30%,307.989990234375,283.0199890136719
44,MSFT,2021-10-26,Sep-21,$2.06 ,$2.27 ,After Close,0.21,10.19%,316.0,334.4100036621094
45,MSFT,2021-07-27,Jun-21,$1.90 ,$2.17 ,After Close,0.27,14.21%,288.989990234375,300.82000732421875
46,MSFT,2021-04-27,Mar-21,$1.76 ,$1.95 ,After Close,0.19,10.80%,256.0799865722656,254.2899932861328
47,MSFT,2021-01-26,Dec-20,$1.64 ,$2.03 ,After Close,0.39,23.78%,238.0,234.9600067138672
48,MSFT,2020-10-27,Sep-20,$1.53 ,$1.82 ,After Close,0.29,18.95%,207.6699981689453,211.7700042724609
49,MSFT,2020-07-22,Jun-20,$1.38 ,$1.46 ,After Close,0.08,5.80%,207.19000244140625,229.2700042724609
50,MSFT,2020-04-29,Mar-20,$1.27 ,$1.40 ,After Close,0.13,10.24%,180.0,190.5399932861328
51,MSFT,2020-01-29,Dec-19,$1.32 ,$1.51 ,After Close,0.19,14.39%,174.0500030517578,147.5
52,MSFT,2019-10-23,Sep-19,$1.25 ,$1.38 ,After Close,0.13,10.40%,139.38999938964844,150.99000549316406
53,MSFT,2019-07-18,Jun-19,$1.21 ,$1.37 ,After Close,0.16,13.22%,140.22000122070312,139.14999389648438
54,MSFT,2019-04-24,Mar-19,$1.00 ,$1.14 ,After Close,0.14,14.00%,130.05999755859375,129.19000244140625
55,MSFT,2019-01-30,Dec-18,$1.09 ,$1.10 ,After Close,0.01,0.92%,-,-
56,MSFT,2018-10-24,Sep-18,$0.96 ,$1.14 ,After Close,0.18,18.75%,106.5500030517578,104.8000030517578
57,MSFT,2018-07-19,Jun-18,$1.07 ,$1.13 ,After Close,0.06,5.61%,108.08000183105467,111.69000244140624
58,MSFT,2018-04-26,Mar-18,$0.85 ,$0.95 ,After Close,0.1,11.76%,97.5999984741211,101.01000213623048
59,MSFT,2018-01-31,Dec-17,$0.86 ,$0.96 ,After Close,0.1,11.63%,94.79000091552734,94.68000030517578
60,MSFT,2017-10-26,Sep-17,$0.72 ,$0.84 ,After Close,0.12,16.67%,84.37000274658203,84.29000091552734
61,MSFT,2017-07-20,Jun-17,$0.71 ,$0.98 ,After Close,0.27,38.03%,73.44999694824219,74.70999908447266
62,MSFT,2017-04-27,Mar-17,$0.69 ,$0.73 ,After Close,0.04,5.80%,68.91000366210938,69.25
63,MSFT,2017-01-26,Dec-16,$0.79 ,$0.83 ,After Close,0.04,5.06%,65.38999938964844,65.01000213623047
64,MSFT,2016-10-20,Sep-16,$0.68 ,$0.76 ,After Close,0.08,11.76%,60.27999877929688,59.70000076293945
65,MSFT,2016-07-19,Jun-16,$0.58 ,$0.69 ,After Close,0.11,18.97%,56.150001525878906,57.650001525878906
66,MSFT,2016-04-21,Mar-16,$0.63 ,$0.62 ,After Close,-0.01,-1.59%,-,-
67,MSFT,2016-01-28,Dec-15,$0.69 ,$0.78 ,After Close,0.09,13.04%,54.72999954223633,52.709999084472656
68,MSFT,2015-10-22,Sep-15,$0.57 ,$0.67 ,After Close,0.1,17.54%,52.29999923706055,55.790000915527344
69,MSFT,2015-07-21,Jun-15,$0.31 ,$0.62 ,After Close,0.31,100.00%,45.43999862670898,42.36000061035156
70,MSFT,2015-04-23,Mar-15,$0.51 ,$0.62 ,After Close,0.11,21.57%,45.65999984741211,46.29999923706055
71,MSFT,2015-01-26,Dec-14,$0.70 ,$0.77 ,After Close,0.07,10.00%,42.95000076293945,42.310001373291016
72,MSFT,2014-10-23,Sep-14,$0.49 ,$0.54 ,After Close,0.05,10.20%,46.83000183105469,48.2599983215332
73,MSFT,2014-07-22,Jun-14,$0.60 ,$0.58 ,After Close,-0.02,-3.33%,-,-
74,MSFT,2014-04-24,Mar-14,$0.62 ,$0.68 ,After Close,0.06,9.68%,40.290000915527344,41.38999938964844
75,MSFT,2014-01-23,Dec-13,$0.67 ,$0.78 ,After Close,0.11,16.42%,37.45000076293945,37.9900016784668
76,MSFT,2013-10-24,Sep-13,$0.54 ,$0.62 ,After Close,0.08,14.81%,35.880001068115234,38.560001373291016
77,MSFT,2013-07-18,Jun-13,$0.74 ,$0.59 ,After Close,-0.15,-20.27%,-,-
78,MSFT,2013-04-18,Mar-13,$0.67 ,$0.72 ,After Close,0.05,7.46%,29.6200008392334,34.91999816894531
79,MSFT,2013-01-24,Dec-12,$0.75 ,$0.81 ,After Close,0.06,8.00%,27.57999992370605,27.940000534057617
80,MSFT,2012-10-18,Sep-12,$0.57 ,$0.53 ,After Close,-0.04,-7.02%,-,-
81,AMZN,2022-07-28,Jun-22,$0.15 ,$0.10 ,After Close,-0.05,-33.33%,-,-
82,AMZN,2022-04-28,Mar-22,$0.44 ,$0.21 ,After Close,-0.23,-52.27%,-,-
83,AMZN,2022-02-03,Dec-21,$0.19 ,$1.39 ,After Close,1.2,631.58%,155.60650634765625,161.12100219726562
84,AMZN,2021-10-28,Sep-21,$0.44 ,$0.31 ,After Close,-0.13,-29.55%,-,-
85,AMZN,2021-07-29,Jun-21,$0.61 ,$0.76 ,After Close,0.15,24.59%,167.3975067138672,174.13999938964844
86,AMZN,2021-04-29,Mar-21,$0.49 ,$0.79 ,After Close,0.3,61.22%,176.25599670410156,167.3415069580078
87,AMZN,2021-02-02,Dec-20,$0.35 ,$0.70 ,After Close,0.35,100.00%,171.25050354003906,155.0500030517578
88,AMZN,2020-10-29,Sep-20,$0.37 ,$0.62 ,After Close,0.25,67.57%,157.8874969482422,157.14999389648438
89,AMZN,2020-07-30,Jun-20,$0.09 ,$0.52 ,After Close,0.43,477.78%,162.1999969482422,158.64700317382812
90,AMZN,2020-04-30,Mar-20,$0.32 ,$0.25 ,After Close,-0.07,-21.88%,-,-
91,AMZN,2020-01-30,Dec-19,$0.20 ,$0.32 ,After Close,0.12,60.00%,102.57350158691406,82.07550048828125
92,AMZN,2019-10-24,Sep-19,$0.22 ,$0.21 ,After Close,-0.01,-4.55%,-,-
93,AMZN,2019-07-25,Jun-19,$0.26 ,$0.26 ,After Close,0,0.00%,-,-
94,AMZN,2019-04-25,Mar-19,$0.23 ,$0.35 ,After Close,0.12,52.17%,96.4499969482422,91.0999984741211
95,AMZN,2019-01-31,Dec-18,$0.28 ,$0.30 ,After Close,0.02,7.14%,81.94400024414062,85.63500213623047
96,AMZN,2018-10-25,Sep-18,$0.16 ,$0.29 ,After Close,0.13,81.25%,82.47949981689453,83.9000015258789
97,AMZN,2018-07-26,Jun-18,$0.12 ,$0.25 ,After Close,0.13,108.33%,93.80249786376952,98.5500030517578
98,AMZN,2018-04-26,Mar-18,$0.06 ,$0.16 ,After Close,0.1,166.67%,81.70050048828125,84.07550048828125
99,AMZN,2018-02-01,Dec-17,$0.09 ,$0.11 ,After Close,0.02,22.22%,73.86949920654297,77.72650146484375
100,AMZN,2017-10-26,Sep-17,$0.00 ,$0.03 ,After Close,0.03,-,-,-
101,AMZN,2017-07-27,Jun-17,$0.07 ,$0.02 ,After Close,-0.05,-71.43%,-,-
102,AMZN,2017-04-27,Mar-17,$0.05 ,$0.07 ,After Close,0.02,40.00%,47.44150161743164,48.34999847412109
103,AMZN,2017-02-02,Dec-16,$0.07 ,$0.08 ,After Close,0.01,14.29%,40.33599853515625,42.57550048828125
104,AMZN,2016-10-27,Sep-16,$0.04 ,$0.03 ,After Close,-0.01,-25.00%,-,-
105,AMZN,2016-07-28,Jun-16,$0.06 ,$0.09 ,After Close,0.03,50.00%,38.25,37.86750030517578
106,AMZN,2016-04-28,Mar-16,$0.03 ,$0.05 ,After Close,0.02,66.67%,33.29999923706055,35.70050048828125
107,AMZN,2016-01-28,Dec-15,$0.08 ,$0.05 ,After Close,-0.03,-37.50%,-,-
108,AMZN,2015-10-22,Sep-15,($0.01),$0.01 ,After Close,0.02,-200.00%,-,-
109,AMZN,2015-07-23,Jun-15,($0.01),$0.01 ,After Close,0.02,-200.00%,-,-
110,AMZN,2015-04-23,Mar-15,($0.01),($0.01),After Close,0,0.00%,-,-
111,AMZN,2015-01-29,Dec-14,$0.01 ,$0.02 ,After Close,0.01,100.00%,17.31599998474121,18.518999099731445
112,AMZN,2014-10-23,Sep-14,($0.04),($0.05),After Close,-0.01,25.00%,14.220000267028809,15.578499794006348
113,AMZN,2014-07-24,Jun-14,($0.01),($0.01),After Close,0,0.00%,-,-
114,AMZN,2014-04-24,Mar-14,$0.01 ,$0.01 ,After Close,0,0.00%,-,-
115,AMZN,2014-01-30,Dec-13,$0.03 ,$0.03 ,After Close,0,0.00%,-,-
116,AMZN,2013-10-24,Sep-13,$0.00 ,$0.00 ,After Close,0,-,-,-
117,AMZN,2013-07-25,Jun-13,$0.00 ,$0.00 ,After Close,0,-,-,-
118,AMZN,2013-04-25,Mar-13,$0.01 ,$0.01 ,After Close,0,0.00%,-,-
119,AMZN,2013-01-29,Dec-12,$0.01 ,$0.01 ,After Close,0,0.00%,-,-
120,AMZN,2012-10-25,Sep-12,$0.00 ,($0.01),After Close,-0.01,-,-,-
121,TSLA,2022-07-20,Jun-22,$0.61 ,$0.76 ,After Close,0.15,24.59%,255.10667419433597,272.5799865722656
122,TSLA,2022-04-20,Mar-22,$0.72 ,$1.07 ,After Close,0.35,48.61%,358.24334716796875,243.22666931152344
123,TSLA,2022-01-26,Dec-21,$0.70 ,$0.85 ,After Close,0.15,21.43%,311.1199951171875,280.0666809082031
124,TSLA,2021-10-20,Sep-21,$0.46 ,$0.62 ,After Close,0.16,34.78%,285.3333435058594,361.5966796875
125,TSLA,2021-07-26,Jun-21,$0.30 ,$0.48 ,After Close,0.18,60.00%,221.13333129882807,253.8600006103516
126,TSLA,2021-04-26,Mar-21,$0.26 ,$0.31 ,After Close,0.05,19.23%,239.32000732421875,200.72332763671875
127,TSLA,2021-01-27,Dec-20,$0.30 ,$0.27 ,After Close,-0.03,-10.00%,-,-
128,TSLA,2020-10-21,Sep-20,$0.18 ,$0.25 ,After Close,0.07,38.89%,147.30667114257812,197.0033264160156
129,TSLA,2020-07-22,Jun-20,($0.03),$0.15 ,After Close,0.18,-600.00%,-,-
130,TSLA,2020-04-29,Mar-20,($0.01),$0.08 ,After Close,0.09,-900.00%,-,-
131,TSLA,2020-01-29,Dec-19,$0.11 ,$0.14 ,After Close,0.03,27.27%,42.16133117675781,39.66666793823242
132,TSLA,2019-10-23,Sep-19,($0.01),$0.12 ,After Close,0.13,-1300.00%,-,-
133,TSLA,2019-07-24,Jun-19,($0.04),($0.07),After Close,-0.03,75.00%,15.56666660308838,15.146666526794434
134,TSLA,2019-04-24,Mar-19,($0.08),($0.19),After Close,-0.11,137.50%,17.0,13.666666984558104
135,TSLA,2019-01-30,Dec-18,$0.14 ,$0.13 ,After Close,-0.01,-7.14%,-,-
136,TSLA,2018-10-24,Sep-18,($0.04),$0.19 ,After Close,0.23,-575.00%,-,-
137,TSLA,2018-08-01,Jun-18,($0.19),($0.20),After Close,-0.01,5.26%,21.895999908447266,19.250667572021484
138,TSLA,2018-05-02,Mar-18,($0.22),($0.22),After Close,0,0.00%,-,-
139,TSLA,2018-02-07,Dec-17,($0.21),($0.20),After Close,0.01,-4.76%,-,-
140,TSLA,2017-11-01,Sep-17,($0.16),($0.19),After Close,-0.03,18.75%,20.0086669921875,22.80266761779785
141,TSLA,2017-08-02,Jun-17,($0.13),($0.09),After Close,0.04,-30.77%,-,-
142,TSLA,2017-05-03,Mar-17,($0.04),($0.09),After Close,-0.05,125.00%,20.496000289916992,25.19866752624512
143,TSLA,2017-02-22,Dec-16,($0.01),($0.05),After Close,-0.04,400.00%,17.600000381469727,19.79199981689453
144,TSLA,2016-10-26,Sep-16,($0.04),$0.05 ,After Close,0.09,-225.00%,-,-
145,TSLA,2016-08-03,Jun-16,($0.04),($0.07),After Close,-0.03,75.00%,15.04599952697754,13.361332893371582
146,TSLA,2016-05-04,Mar-16,($0.04),($0.04),After Close,0,0.00%,-,-
147,TSLA,2016-02-10,Dec-15,$0.00 ,($0.06),After Close,-0.06,-,-,-
148,TSLA,2015-11-03,Sep-15,($0.04),($0.04),After Close,0,0.00%,-,-
149,TSLA,2015-08-05,Jun-15,($0.04),($0.03),After Close,0.01,-25.00%,-,-
150,TSLA,2015-05-06,Mar-15,($0.03),($0.02),After Close,0.01,-33.33%,-,-
151,TSLA,2015-02-11,Dec-14,$0.02 ,($0.01),After Close,-0.03,-150.00%,-,-
152,TSLA,2014-11-05,Sep-14,$0.00 ,$0.00 ,After Close,0,-,-,-
153,TSLA,2014-07-31,Jun-14,$0.00 ,$0.01 ,After Close,0.01,-,-,-
154,TSLA,2014-05-07,Mar-14,$0.01 ,$0.01 ,After Close,0,0.00%,-,-
155,TSLA,2014-02-19,Dec-13,$0.01 ,$0.02 ,After Close,0.01,100.00%,14.333999633789062,15.353333473205566
156,TSLA,2013-11-05,Sep-13,$0.01 ,$0.01 ,After Close,0,0.00%,-,-
157,TSLA,2013-08-07,Jun-13,($0.01),$0.00 ,After Close,0.01,-100.00%,-,-
158,TSLA,2013-05-08,Mar-13,$0.00 ,$0.01 ,After Close,0.01,-,-,-
159,TSLA,2013-02-20,Dec-12,($0.04),($0.04),After Close,0,0.00%,-,-
160,TSLA,2012-11-05,Sep-12,($0.06),($0.06),Before Open,0,0.00%,-,-
161,TSLA,2012-07-25,Jun-12,--,($0.06),After Close,-,-,-,-
162,TSLA,2012-05-09,Mar-12,--,($0.05),After Close,-,-,-,-
163,GOOGL,2022-07-26,Jun-22,$1.27 ,$1.21 ,After Close,-0.06,-4.72%,-,-
164,GOOGL,2022-04-26,Mar-22,$1.29 ,$1.23 ,After Close,-0.06,-4.65%,-,-
165,GOOGL,2022-02-01,Dec-21,$1.33 ,$1.53 ,After Close,0.2,15.04%,151.25,133.1490020751953
166,GOOGL,2021-10-26,Sep-21,$1.16 ,$1.40 ,After Close,0.24,20.69%,139.40499877929688,147.59100341796875
167,GOOGL,2021-07-27,Jun-21,$0.99 ,$1.36 ,After Close,0.37,37.37%,136.31199645996094,143.8404998779297
168,GOOGL,2021-04-27,Mar-21,$0.78 ,$1.31 ,After Close,0.53,67.95%,119.625,120.34600067138672
169,GOOGL,2021-02-02,Dec-20,$0.80 ,$1.12 ,After Close,0.32,40.00%,103.28050231933594,102.40899658203124
170,GOOGL,2020-10-29,Sep-20,$0.57 ,$0.82 ,After Close,0.25,43.86%,83.37200164794922,88.53600311279297
171,GOOGL,2020-07-30,Jun-20,$0.42 ,$0.51 ,After Close,0.09,21.43%,74.85250091552734,76.5824966430664
172,GOOGL,2020-04-28,Mar-20,$0.52 ,$0.49 ,After Close,-0.03,-5.77%,-,-
173,GOOGL,2020-02-03,Dec-19,$0.64 ,$0.77 ,After Close,0.13,20.31%,72.72450256347656,52.99700164794922
174,GOOGL,2019-10-28,Sep-19,$0.63 ,$0.51 ,After Close,-0.12,-19.05%,-,-
175,GOOGL,2019-07-25,Jun-19,$0.57 ,$0.71 ,After Close,0.14,24.56%,61.400001525878906,60.354000091552734
176,GOOGL,2019-04-29,Mar-19,$0.53 ,$0.60 ,After Close,0.07,13.21%,59.53150177001953,53.997501373291016
177,GOOGL,2019-02-04,Dec-18,$0.55 ,$0.64 ,After Close,0.09,16.36%,56.48149871826172,60.06999969482422
178,GOOGL,2018-10-25,Sep-18,$0.53 ,$0.65 ,After Close,0.12,22.64%,52.416500091552734,53.34700012207031
179,GOOGL,2018-07-23,Jun-18,$0.47 ,$0.59 ,After Close,0.12,25.53%,63.54999923706055,60.46099853515625
180,GOOGL,2018-04-23,Mar-18,$0.46 ,$0.50 ,After Close,0.04,8.70%,52.959999084472656,57.63850021362305
181,GOOGL,2018-02-01,Dec-17,$0.51 ,$0.49 ,After Close,-0.02,-3.92%,-,-
182,GOOGL,2017-10-26,Sep-17,$0.42 ,$0.48 ,After Close,0.06,14.29%,51.54949951171875,52.55550003051758
183,GOOGL,2017-07-24,Jun-17,$0.22 ,$0.25 ,After Close,0.03,13.64%,48.53499984741211,47.19350051879883
184,GOOGL,2017-04-27,Mar-17,$0.37 ,$0.39 ,After Close,0.02,5.41%,46.45000076293945,47.93600082397461
185,GOOGL,2017-01-26,Dec-16,$0.48 ,$0.47 ,After Close,-0.01,-2.08%,-,-
186,GOOGL,2016-10-27,Sep-16,$0.43 ,$0.45 ,After Close,0.02,4.65%,-,-
187,GOOGL,2016-07-28,Jun-16,$0.40 ,$0.42 ,After Close,0.02,5.00%,39.885501861572266,39.22600173950195
188,GOOGL,2016-04-21,Mar-16,$0.40 ,$0.38 ,After Close,-0.02,-5.00%,-,-
189,GOOGL,2016-02-01,Dec-15,$0.41 ,$0.43 ,After Close,0.02,4.88%,-,-
190,GOOGL,2015-10-22,Sep-15,$0.36 ,$0.37 ,After Close,0.01,2.78%,-,-
191,GOOGL,2015-07-16,Jun-15,$0.34 ,$0.35 ,After Close,0.01,2.94%,-,-
192,GOOGL,2015-04-23,Mar-15,$0.33 ,$0.33 ,After Close,0,0.00%,-,-
193,GOOGL,2015-01-29,Dec-14,$0.36 ,$0.34 ,After Close,-0.02,-5.56%,-,-
194,GOOGL,2014-10-16,Sep-14,$0.32 ,$0.32 ,After Close,0,0.00%,-,-
195,GOOGL,2014-07-17,Jun-14,$0.31 ,$0.30 ,After Close,-0.01,-3.23%,-,-
196,GOOGL,2014-04-16,Mar-14,$0.37 ,$0.31 ,After Close,-0.06,-16.22%,-,-
197,GOOG,2022-07-26,Jun-22,$1.27 ,$1.21 ,After Close,-0.06,-4.72%,-,-
198,GOOG,2022-04-26,Mar-22,$1.29 ,$1.23 ,After Close,-0.06,-4.65%,-,-
199,GOOG,2022-02-01,Dec-21,$1.33 ,$1.53 ,After Close,0.2,15.04%,151.86349487304688,133.3209991455078
200,GOOG,2021-10-26,Sep-21,$1.16 ,$1.40 ,After Close,0.24,20.69%,139.90249633789062,148.17599487304688
201,GOOG,2021-07-27,Jun-21,$0.99 ,$1.36 ,After Close,0.37,37.37%,138.56199645996094,144.8834991455078
202,GOOG,2021-04-27,Mar-21,$0.78 ,$1.31 ,After Close,0.53,67.95%,120.35724639892578,124.70050048828124
203,GOOG,2021-02-02,Dec-20,$0.80 ,$1.12 ,After Close,0.32,40.00%,103.6500015258789,103.0500030517578
204,GOOG,2020-10-29,Sep-20,$0.57 ,$0.82 ,After Close,0.25,43.86%,83.60549926757812,88.75
205,GOOG,2020-07-30,Jun-20,$0.42 ,$0.51 ,After Close,0.09,21.43%,75.25050354003906,76.95024871826172
206,GOOG,2020-04-28,Mar-20,$0.52 ,$0.49 ,After Close,-0.03,-5.77%,-,-
207,GOOG,2020-02-03,Dec-19,$0.64 ,$0.77 ,After Close,0.13,20.31%,72.85350036621094,52.82550048828125
208,GOOG,2019-10-28,Sep-19,$0.63 ,$0.51 ,After Close,-0.12,-19.05%,-,-
209,GOOG,2019-07-25,Jun-19,$0.57 ,$0.71 ,After Close,0.14,24.56%,61.20199966430664,60.20000076293945
210,GOOG,2019-04-29,Mar-19,$0.53 ,$0.60 ,After Close,0.07,13.21%,59.25,53.900001525878906
211,GOOG,2019-02-04,Dec-18,--,$0.64 ,After Close,-,-,-,-
212,GOOG,2018-10-25,Sep-18,--,$0.65 ,After Close,-,-,-,-
213,GOOG,2018-07-23,Jun-18,--,$0.59 ,After Close,-,-,-,-
214,GOOG,2018-04-23,Mar-18,--,$0.50 ,After Close,-,-,-,-
215,GOOG,2018-02-01,Dec-17,--,$0.49 ,After Close,-,-,-,-
216,GOOG,2017-10-26,Sep-17,--,$0.48 ,After Close,-,-,-,-
217,GOOG,2017-07-24,Jun-17,--,$0.25 ,After Close,-,-,-,-
218,GOOG,2017-04-27,Mar-17,--,$0.39 ,After Close,-,-,-,-
219,GOOG,2017-01-26,Dec-16,--,$0.47 ,After Close,-,-,-,-
220,GOOG,2016-10-27,Sep-16,--,$0.45 ,After Close,-,-,-,-
221,GOOG,2016-07-28,Jun-16,--,$0.42 ,After Close,-,-,-,-
222,GOOG,2016-04-21,Mar-16,--,$0.38 ,After Close,-,-,-,-
223,GOOG,2016-02-01,Dec-15,--,$0.43 ,After Close,-,-,-,-
224,GOOG,2015-10-22,Sep-15,--,$0.37 ,After Close,-,-,-,-
225,GOOG,2015-07-16,Jun-15,--,$0.35 ,After Close,-,-,-,-
226,GOOG,2015-04-23,Mar-15,--,$0.33 ,After Close,-,-,-,-
227,GOOG,2015-01-29,Dec-14,--,$0.34 ,After Close,-,-,-,-
228,GOOG,2014-10-16,Sep-14,--,$0.32 ,After Close,-,-,-,-
229,GOOG,2014-07-17,Jun-14,--,$0.30 ,After Close,-,-,-,-
230,GOOG,2014-04-16,Mar-14,$0.32 ,$0.31 ,After Close,-0.01,-3.13%,-,-
231,GOOG,2014-01-30,Dec-13,$0.62 ,$0.60 ,After Close,-0.02,-3.23%,-,-
232,GOOG,2013-10-17,Sep-13,$0.52 ,$0.54 ,After Close,0.02,3.85%,-,-
233,GOOG,2013-07-18,Jun-13,$0.54 ,$0.48 ,After Close,-0.06,-11.11%,-,-
234,GOOG,2013-04-18,Mar-13,$0.53 ,$0.58 ,After Close,0.05,9.43%,19.15719413757324,21.74349975585937
235,GOOG,2013-01-22,Dec-12,$0.53 ,$0.53 ,After Close,0,0.00%,-,-
236,GOOG,2012-10-18,Sep-12,$0.53 ,$0.45 ,After Close,-0.08,-15.09%,-,-
237,GOOG,2012-07-19,Jun-12,--,$0.50 ,After Close,-,-,-,-
238,GOOG,2012-04-12,Mar-12,--,$0.50 ,After Close,-,-,-,-
239,BRK-B,2022-08-06,Jun-22,$2.94 ,$4.20 ,--,1.26,42.86%,-,-
240,BRK-B,2022-04-30,Mar-22,$2.77 ,$3.18 ,Before Open,0.41,14.80%,-,-
241,BRK-B,2022-02-26,Dec-21,$2.79 ,$3.27 ,Before Open,0.48,17.20%,-,-
242,BRK-B,2021-11-06,Sep-21,$3.01 ,$2.87 ,--,-0.14,-4.65%,-,-
243,BRK-B,2021-08-07,Jun-21,$2.52 ,$2.94 ,Before Open,0.42,16.67%,-,-
244,BRK-B,2021-05-01,Mar-21,$2.58 ,$3.05 ,Before Open,0.47,18.22%,-,-
245,BRK-B,2021-02-27,Dec-20,$2.34 ,$2.15 ,Before Open,-0.19,-8.12%,-,-
246,BRK-B,2020-11-07,Sep-20,$2.29 ,$2.30 ,--,0.01,0.44%,-,-
247,BRK-B,2020-08-08,Jun-20,$2.18 ,$2.28 ,Before Open,0.1,4.59%,-,-
248,BRK-B,2020-05-02,Mar-20,$2.42 ,$2.41 ,Before Open,-0.01,-0.41%,-,-
249,BRK-B,2020-02-22,Dec-19,$2.53 ,$1.81 ,--,-0.72,-28.46%,-,-
250,BRK-B,2019-11-02,Sep-19,$2.78 ,$3.21 ,--,0.43,15.47%,-,-
