,Ticker,Date,Period Ending,Estimate,Reported,Time,Surprise,Surprise %,Open Start,Open End
0,AAPL,2022-07-28,Jun-22,$1.14 ,$1.20 ,After Close,0.06,5.26%,161.24000549316406,-
1,AAPL,2022-04-28,Mar-22,$1.43 ,$1.52 ,After Close,0.09,6.29%,161.83999633789062,132.8699951171875
2,AAPL,2022-01-27,Dec-21,$1.89 ,$2.10 ,After Close,0.21,11.11%,165.7100067138672,151.4499969482422
3,AAPL,2021-10-28,Sep-21,$1.24 ,$1.24 ,After Close,0,0.00%,-,-
4,AAPL,2021-07-27,Jun-21,$1.00 ,$1.30 ,After Close,0.3,30.00%,144.80999755859375,155.49000549316406
5,AAPL,2021-04-28,Mar-21,$1.00 ,$1.40 ,After Close,0.4,40.00%,136.47000122070312,126.52999877929688
6,AAPL,2021-01-27,Dec-20,$1.41 ,$1.68 ,After Close,0.27,19.15%,139.52000427246094,120.4000015258789
7,AAPL,2020-10-29,Sep-20,$0.69 ,$0.73 ,After Close,0.04,5.80%,111.05999755859376,122.5999984741211
8,AAPL,2020-07-30,Jun-20,$0.51 ,$0.65 ,After Close,0.14,27.45%,102.88500213623048,114.72000122070312
9,AAPL,2020-04-30,Mar-20,$0.52 ,$0.64 ,After Close,0.12,23.08%,71.5625,83.3125
10,AAPL,2020-01-28,Dec-19,$1.14 ,$1.25 ,After Close,0.11,9.65%,81.11250305175781,63.98500061035156
11,AAPL,2019-10-30,Sep-19,$0.71 ,$0.76 ,After Close,0.05,7.04%,61.810001373291016,67.86499786376953
12,AAPL,2019-07-30,Jun-19,$0.53 ,$0.55 ,After Close,0.02,3.77%,-,-
13,AAPL,2019-04-30,Mar-19,$0.59 ,$0.62 ,After Close,0.03,5.08%,52.470001220703125,48.67499923706055
14,AAPL,2019-01-29,Dec-18,$1.04 ,$1.05 ,After Close,0.01,0.96%,-,-
15,AAPL,2018-11-01,Sep-18,$0.70 ,$0.73 ,After Close,0.03,4.29%,-,-
16,AAPL,2018-07-31,Jun-18,$0.54 ,$0.59 ,After Close,0.05,9.26%,49.782501220703125,55.880001068115234
17,AAPL,2018-05-01,Mar-18,$0.67 ,$0.68 ,After Close,0.01,1.49%,-,-
18,AAPL,2018-02-01,Dec-17,$0.96 ,$0.97 ,After Close,0.01,1.04%,-,-
19,AAPL,2017-11-02,Sep-17,$0.47 ,$0.52 ,After Close,0.05,10.64%,43.5,43.720001220703125
20,AAPL,2017-08-01,Jun-17,$0.39 ,$0.42 ,After Close,0.03,7.69%,39.81999969482422,39.747501373291016
21,AAPL,2017-05-02,Mar-17,$0.51 ,$0.53 ,After Close,0.02,3.92%,-,-
22,AAPL,2017-01-31,Dec-16,$0.81 ,$0.84 ,After Close,0.03,3.70%,-,-
23,AAPL,2016-10-25,Sep-16,$0.42 ,$0.42 ,After Close,0,0.00%,-,-
24,AAPL,2016-07-26,Jun-16,$0.35 ,$0.36 ,After Close,0.01,2.86%,-,-
25,AAPL,2016-04-26,Mar-16,$0.49 ,$0.48 ,After Close,-0.01,-2.04%,-,-
26,AAPL,2016-01-26,Dec-15,$0.81 ,$0.82 ,After Close,0.01,1.23%,-,-
27,AAPL,2015-10-27,Sep-15,$0.47 ,$0.49 ,After Close,0.02,4.26%,-,-
28,AAPL,2015-07-21,Jun-15,$0.45 ,$0.46 ,After Close,0.01,2.22%,-,-
29,AAPL,2015-04-27,Mar-15,$0.55 ,$0.58 ,After Close,0.03,5.45%,33.6150016784668,31.979999542236328
30,AAPL,2015-01-27,Dec-14,$0.65 ,$0.77 ,After Close,0.12,18.46%,29.40749931335449,30.57749938964844
31,AAPL,2014-10-20,Sep-14,$0.33 ,$0.36 ,After Close,0.03,9.09%,25.7549991607666,28.9375
32,AAPL,2014-07-22,Jun-14,$0.31 ,$0.32 ,After Close,0.01,3.23%,-,-
33,AAPL,2014-04-23,Mar-14,$0.36 ,$0.42 ,After Close,0.06,16.67%,20.293214797973636,23.21071434020996
34,AAPL,2014-01-27,Dec-13,$0.50 ,$0.52 ,After Close,0.02,4.00%,-,-
35,AAPL,2013-10-28,Sep-13,$0.28 ,$0.30 ,After Close,0.02,7.14%,19.15250015258789,20.25
36,AAPL,2013-07-23,Jun-13,$0.26 ,$0.27 ,After Close,0.01,3.85%,-,-
37,AAPL,2013-04-23,Mar-13,$0.36 ,$0.36 ,After Close,0,0.00%,-,-
38,AAPL,2013-01-23,Dec-12,$0.48 ,$0.49 ,After Close,0.01,2.08%,-,-
39,AAPL,2012-10-25,Sep-12,$0.32 ,$0.31 ,After Close,-0.01,-3.13%,-,-
40,AAPL,2009-10-19,Sep-09,--,$0.11 ,After Close,-,-,-,-
41,MSFT,2022-07-26,Jun-22,$2.28 ,$2.23 ,After Close,-0.05,-2.19%,-,-
