Ticker,Date,Period Ending,Estimate,Reported,Time,Surprise,Surprise %
AAPL,7/28/2022,Jun-22,$1.14 ,$1.20 ,After Close,0.06,5.26%
AAPL,4/28/2022,Mar-22,$1.43 ,$1.52 ,After Close,0.09,6.29%
AAPL,1/27/2022,Dec-21,$1.89 ,$2.10 ,After Close,0.21,11.11%
AAPL,10/28/2021,Sep-21,$1.24 ,$1.24 ,After Close,0,0.00%
AAPL,7/27/2021,Jun-21,$1.00 ,$1.30 ,After Close,0.3,30.00%
AAPL,4/28/2021,Mar-21,$1.00 ,$1.40 ,After Close,0.4,40.00%
AAPL,1/27/2021,Dec-20,$1.41 ,$1.68 ,After Close,0.27,19.15%
AAPL,10/29/2020,Sep-20,$0.69 ,$0.73 ,After Close,0.04,5.80%
AAPL,7/30/2020,Jun-20,$0.51 ,$0.65 ,After Close,0.14,27.45%
AAPL,4/30/2020,Mar-20,$0.52 ,$0.64 ,After Close,0.12,23.08%
AAPL,1/28/2020,Dec-19,$1.14 ,$1.25 ,After Close,0.11,9.65%
AAPL,10/30/2019,Sep-19,$0.71 ,$0.76 ,After Close,0.05,7.04%
AAPL,7/30/2019,Jun-19,$0.53 ,$0.55 ,After Close,0.02,3.77%
AAPL,4/30/2019,Mar-19,$0.59 ,$0.62 ,After Close,0.03,5.08%
AAPL,1/29/2019,Dec-18,$1.04 ,$1.05 ,After Close,0.01,0.96%
AAPL,11/1/2018,Sep-18,$0.70 ,$0.73 ,After Close,0.03,4.29%
AAPL,7/31/2018,Jun-18,$0.54 ,$0.59 ,After Close,0.05,9.26%
AAPL,5/1/2018,Mar-18,$0.67 ,$0.68 ,After Close,0.01,1.49%
AAPL,2/1/2018,Dec-17,$0.96 ,$0.97 ,After Close,0.01,1.04%
AAPL,11/2/2017,Sep-17,$0.47 ,$0.52 ,After Close,0.05,10.64%
AAPL,8/1/2017,Jun-17,$0.39 ,$0.42 ,After Close,0.03,7.69%
AAPL,5/2/2017,Mar-17,$0.51 ,$0.53 ,After Close,0.02,3.92%
AAPL,1/31/2017,Dec-16,$0.81 ,$0.84 ,After Close,0.03,3.70%
AAPL,10/25/2016,Sep-16,$0.42 ,$0.42 ,After Close,0,0.00%
AAPL,7/26/2016,Jun-16,$0.35 ,$0.36 ,After Close,0.01,2.86%
AAPL,4/26/2016,Mar-16,$0.49 ,$0.48 ,After Close,-0.01,-2.04%
AAPL,1/26/2016,Dec-15,$0.81 ,$0.82 ,After Close,0.01,1.23%
AAPL,10/27/2015,Sep-15,$0.47 ,$0.49 ,After Close,0.02,4.26%
AAPL,7/21/2015,Jun-15,$0.45 ,$0.46 ,After Close,0.01,2.22%
AAPL,4/27/2015,Mar-15,$0.55 ,$0.58 ,After Close,0.03,5.45%
AAPL,1/27/2015,Dec-14,$0.65 ,$0.77 ,After Close,0.12,18.46%
AAPL,10/20/2014,Sep-14,$0.33 ,$0.36 ,After Close,0.03,9.09%
AAPL,7/22/2014,Jun-14,$0.31 ,$0.32 ,After Close,0.01,3.23%
AAPL,4/23/2014,Mar-14,$0.36 ,$0.42 ,After Close,0.06,16.67%
AAPL,1/27/2014,Dec-13,$0.50 ,$0.52 ,After Close,0.02,4.00%
AAPL,10/28/2013,Sep-13,$0.28 ,$0.30 ,After Close,0.02,7.14%
AAPL,7/23/2013,Jun-13,$0.26 ,$0.27 ,After Close,0.01,3.85%
AAPL,4/23/2013,Mar-13,$0.36 ,$0.36 ,After Close,0,0.00%
AAPL,1/23/2013,Dec-12,$0.48 ,$0.49 ,After Close,0.01,2.08%
AAPL,10/25/2012,Sep-12,$0.32 ,$0.31 ,After Close,-0.01,-3.13%
AAPL,10/19/2009,Sep-09,--,$0.11 ,After Close,-,-
MSFT,7/26/2022,Jun-22,$2.28 ,$2.23 ,After Close,-0.05,-2.19%
MSFT,4/26/2022,Mar-22,$2.18 ,$2.22 ,After Close,0.04,1.83%
MSFT,1/25/2022,Dec-21,$2.29 ,$2.48 ,After Close,0.19,8.30%
MSFT,10/26/2021,Sep-21,$2.06 ,$2.27 ,After Close,0.21,10.19%
MSFT,7/27/2021,Jun-21,$1.90 ,$2.17 ,After Close,0.27,14.21%
MSFT,4/27/2021,Mar-21,$1.76 ,$1.95 ,After Close,0.19,10.80%
MSFT,1/26/2021,Dec-20,$1.64 ,$2.03 ,After Close,0.39,23.78%
MSFT,10/27/2020,Sep-20,$1.53 ,$1.82 ,After Close,0.29,18.95%
MSFT,7/22/2020,Jun-20,$1.38 ,$1.46 ,After Close,0.08,5.80%
MSFT,4/29/2020,Mar-20,$1.27 ,$1.40 ,After Close,0.13,10.24%
MSFT,1/29/2020,Dec-19,$1.32 ,$1.51 ,After Close,0.19,14.39%
MSFT,10/23/2019,Sep-19,$1.25 ,$1.38 ,After Close,0.13,10.40%
MSFT,7/18/2019,Jun-19,$1.21 ,$1.37 ,After Close,0.16,13.22%
MSFT,4/24/2019,Mar-19,$1.00 ,$1.14 ,After Close,0.14,14.00%
MSFT,1/30/2019,Dec-18,$1.09 ,$1.10 ,After Close,0.01,0.92%
MSFT,10/24/2018,Sep-18,$0.96 ,$1.14 ,After Close,0.18,18.75%
MSFT,7/19/2018,Jun-18,$1.07 ,$1.13 ,After Close,0.06,5.61%
MSFT,4/26/2018,Mar-18,$0.85 ,$0.95 ,After Close,0.1,11.76%
MSFT,1/31/2018,Dec-17,$0.86 ,$0.96 ,After Close,0.1,11.63%
MSFT,10/26/2017,Sep-17,$0.72 ,$0.84 ,After Close,0.12,16.67%
MSFT,7/20/2017,Jun-17,$0.71 ,$0.98 ,After Close,0.27,38.03%
MSFT,4/27/2017,Mar-17,$0.69 ,$0.73 ,After Close,0.04,5.80%
MSFT,1/26/2017,Dec-16,$0.79 ,$0.83 ,After Close,0.04,5.06%
MSFT,10/20/2016,Sep-16,$0.68 ,$0.76 ,After Close,0.08,11.76%
MSFT,7/19/2016,Jun-16,$0.58 ,$0.69 ,After Close,0.11,18.97%
MSFT,4/21/2016,Mar-16,$0.63 ,$0.62 ,After Close,-0.01,-1.59%
MSFT,1/28/2016,Dec-15,$0.69 ,$0.78 ,After Close,0.09,13.04%
MSFT,10/22/2015,Sep-15,$0.57 ,$0.67 ,After Close,0.1,17.54%
MSFT,7/21/2015,Jun-15,$0.31 ,$0.62 ,After Close,0.31,100.00%
MSFT,4/23/2015,Mar-15,$0.51 ,$0.62 ,After Close,0.11,21.57%
MSFT,1/26/2015,Dec-14,$0.70 ,$0.77 ,After Close,0.07,10.00%
MSFT,10/23/2014,Sep-14,$0.49 ,$0.54 ,After Close,0.05,10.20%
