Ticker,Date,Period Ending,Estimate,Reported,Time,Surprise,Surprise %
MSFT,7/22/2014,Jun-14,$0.60 ,$0.58 ,After Close,-0.02,-3.33%
MSFT,4/24/2014,Mar-14,$0.62 ,$0.68 ,After Close,0.06,9.68%
MSFT,1/23/2014,Dec-13,$0.67 ,$0.78 ,After Close,0.11,16.42%
MSFT,10/24/2013,Sep-13,$0.54 ,$0.62 ,After Close,0.08,14.81%
MSFT,7/18/2013,Jun-13,$0.74 ,$0.59 ,After Close,-0.15,-20.27%
MSFT,4/18/2013,Mar-13,$0.67 ,$0.72 ,After Close,0.05,7.46%
MSFT,1/24/2013,Dec-12,$0.75 ,$0.81 ,After Close,0.06,8.00%
MSFT,10/18/2012,Sep-12,$0.57 ,$0.53 ,After Close,-0.04,-7.02%
AMZN,7/28/2022,Jun-22,$0.15 ,$0.10 ,After Close,-0.05,-33.33%
AMZN,4/28/2022,Mar-22,$0.44 ,$0.21 ,After Close,-0.23,-52.27%
AMZN,2/3/2022,Dec-21,$0.19 ,$1.39 ,After Close,1.2,631.58%
AMZN,10/28/2021,Sep-21,$0.44 ,$0.31 ,After Close,-0.13,-29.55%
AMZN,7/29/2021,Jun-21,$0.61 ,$0.76 ,After Close,0.15,24.59%
AMZN,4/29/2021,Mar-21,$0.49 ,$0.79 ,After Close,0.3,61.22%
AMZN,2/2/2021,Dec-20,$0.35 ,$0.70 ,After Close,0.35,100.00%
AMZN,10/29/2020,Sep-20,$0.37 ,$0.62 ,After Close,0.25,67.57%
AMZN,7/30/2020,Jun-20,$0.09 ,$0.52 ,After Close,0.43,477.78%
AMZN,4/30/2020,Mar-20,$0.32 ,$0.25 ,After Close,-0.07,-21.88%
AMZN,1/30/2020,Dec-19,$0.20 ,$0.32 ,After Close,0.12,60.00%
AMZN,10/24/2019,Sep-19,$0.22 ,$0.21 ,After Close,-0.01,-4.55%
AMZN,7/25/2019,Jun-19,$0.26 ,$0.26 ,After Close,0,0.00%
AMZN,4/25/2019,Mar-19,$0.23 ,$0.35 ,After Close,0.12,52.17%
AMZN,1/31/2019,Dec-18,$0.28 ,$0.30 ,After Close,0.02,7.14%
AMZN,10/25/2018,Sep-18,$0.16 ,$0.29 ,After Close,0.13,81.25%
AMZN,7/26/2018,Jun-18,$0.12 ,$0.25 ,After Close,0.13,108.33%
AMZN,4/26/2018,Mar-18,$0.06 ,$0.16 ,After Close,0.1,166.67%
AMZN,2/1/2018,Dec-17,$0.09 ,$0.11 ,After Close,0.02,22.22%
AMZN,10/26/2017,Sep-17,$0.00 ,$0.03 ,After Close,0.03,-
AMZN,7/27/2017,Jun-17,$0.07 ,$0.02 ,After Close,-0.05,-71.43%
AMZN,4/27/2017,Mar-17,$0.05 ,$0.07 ,After Close,0.02,40.00%
AMZN,2/2/2017,Dec-16,$0.07 ,$0.08 ,After Close,0.01,14.29%
AMZN,10/27/2016,Sep-16,$0.04 ,$0.03 ,After Close,-0.01,-25.00%
AMZN,7/28/2016,Jun-16,$0.06 ,$0.09 ,After Close,0.03,50.00%
AMZN,4/28/2016,Mar-16,$0.03 ,$0.05 ,After Close,0.02,66.67%
AMZN,1/28/2016,Dec-15,$0.08 ,$0.05 ,After Close,-0.03,-37.50%
AMZN,10/22/2015,Sep-15,($0.01),$0.01 ,After Close,0.02,-200.00%
AMZN,7/23/2015,Jun-15,($0.01),$0.01 ,After Close,0.02,-200.00%
AMZN,4/23/2015,Mar-15,($0.01),($0.01),After Close,0,0.00%
AMZN,1/29/2015,Dec-14,$0.01 ,$0.02 ,After Close,0.01,100.00%
AMZN,10/23/2014,Sep-14,($0.04),($0.05),After Close,-0.01,25.00%
AMZN,7/24/2014,Jun-14,($0.01),($0.01),After Close,0,0.00%
AMZN,4/24/2014,Mar-14,$0.01 ,$0.01 ,After Close,0,0.00%
AMZN,1/30/2014,Dec-13,$0.03 ,$0.03 ,After Close,0,0.00%
AMZN,10/24/2013,Sep-13,$0.00 ,$0.00 ,After Close,0,-
AMZN,7/25/2013,Jun-13,$0.00 ,$0.00 ,After Close,0,-
AMZN,4/25/2013,Mar-13,$0.01 ,$0.01 ,After Close,0,0.00%
AMZN,1/29/2013,Dec-12,$0.01 ,$0.01 ,After Close,0,0.00%
AMZN,10/25/2012,Sep-12,$0.00 ,($0.01),After Close,-0.01,-
TSLA,7/20/2022,Jun-22,$0.61 ,$0.76 ,After Close,0.15,24.59%
TSLA,4/20/2022,Mar-22,$0.72 ,$1.07 ,After Close,0.35,48.61%
TSLA,1/26/2022,Dec-21,$0.70 ,$0.85 ,After Close,0.15,21.43%
TSLA,10/20/2021,Sep-21,$0.46 ,$0.62 ,After Close,0.16,34.78%
TSLA,7/26/2021,Jun-21,$0.30 ,$0.48 ,After Close,0.18,60.00%
TSLA,4/26/2021,Mar-21,$0.26 ,$0.31 ,After Close,0.05,19.23%
TSLA,1/27/2021,Dec-20,$0.30 ,$0.27 ,After Close,-0.03,-10.00%
TSLA,10/21/2020,Sep-20,$0.18 ,$0.25 ,After Close,0.07,38.89%
TSLA,7/22/2020,Jun-20,($0.03),$0.15 ,After Close,0.18,-600.00%
TSLA,4/29/2020,Mar-20,($0.01),$0.08 ,After Close,0.09,-900.00%
TSLA,1/29/2020,Dec-19,$0.11 ,$0.14 ,After Close,0.03,27.27%
TSLA,10/23/2019,Sep-19,($0.01),$0.12 ,After Close,0.13,-1300.00%
TSLA,7/24/2019,Jun-19,($0.04),($0.07),After Close,-0.03,75.00%
TSLA,4/24/2019,Mar-19,($0.08),($0.19),After Close,-0.11,137.50%
TSLA,1/30/2019,Dec-18,$0.14 ,$0.13 ,After Close,-0.01,-7.14%
TSLA,10/24/2018,Sep-18,($0.04),$0.19 ,After Close,0.23,-575.00%
TSLA,8/1/2018,Jun-18,($0.19),($0.20),After Close,-0.01,5.26%
TSLA,5/2/2018,Mar-18,($0.22),($0.22),After Close,0,0.00%
TSLA,2/7/2018,Dec-17,($0.21),($0.20),After Close,0.01,-4.76%
TSLA,11/1/2017,Sep-17,($0.16),($0.19),After Close,-0.03,18.75%
TSLA,8/2/2017,Jun-17,($0.13),($0.09),After Close,0.04,-30.77%
TSLA,5/3/2017,Mar-17,($0.04),($0.09),After Close,-0.05,125.00%
TSLA,2/22/2017,Dec-16,($0.01),($0.05),After Close,-0.04,400.00%
TSLA,10/26/2016,Sep-16,($0.04),$0.05 ,After Close,0.09,-225.00%
TSLA,8/3/2016,Jun-16,($0.04),($0.07),After Close,-0.03,75.00%
TSLA,5/4/2016,Mar-16,($0.04),($0.04),After Close,0,0.00%
TSLA,2/10/2016,Dec-15,$0.00 ,($0.06),After Close,-0.06,-
TSLA,11/3/2015,Sep-15,($0.04),($0.04),After Close,0,0.00%
TSLA,8/5/2015,Jun-15,($0.04),($0.03),After Close,0.01,-25.00%
TSLA,5/6/2015,Mar-15,($0.03),($0.02),After Close,0.01,-33.33%
TSLA,2/11/2015,Dec-14,$0.02 ,($0.01),After Close,-0.03,-150.00%
TSLA,11/5/2014,Sep-14,$0.00 ,$0.00 ,After Close,0,-
TSLA,7/31/2014,Jun-14,$0.00 ,$0.01 ,After Close,0.01,-
TSLA,5/7/2014,Mar-14,$0.01 ,$0.01 ,After Close,0,0.00%
TSLA,2/19/2014,Dec-13,$0.01 ,$0.02 ,After Close,0.01,100.00%
TSLA,11/5/2013,Sep-13,$0.01 ,$0.01 ,After Close,0,0.00%
TSLA,8/7/2013,Jun-13,($0.01),$0.00 ,After Close,0.01,-100.00%
TSLA,5/8/2013,Mar-13,$0.00 ,$0.01 ,After Close,0.01,-
TSLA,2/20/2013,Dec-12,($0.04),($0.04),After Close,0,0.00%
TSLA,11/5/2012,Sep-12,($0.06),($0.06),Before Open,0,0.00%
TSLA,7/25/2012,Jun-12,--,($0.06),After Close,-,-
TSLA,5/9/2012,Mar-12,--,($0.05),After Close,-,-
GOOGL,7/26/2022,Jun-22,$1.27 ,$1.21 ,After Close,-0.06,-4.72%
GOOGL,4/26/2022,Mar-22,$1.29 ,$1.23 ,After Close,-0.06,-4.65%
GOOGL,2/1/2022,Dec-21,$1.33 ,$1.53 ,After Close,0.2,15.04%
GOOGL,10/26/2021,Sep-21,$1.16 ,$1.40 ,After Close,0.24,20.69%
GOOGL,7/27/2021,Jun-21,$0.99 ,$1.36 ,After Close,0.37,37.37%
GOOGL,4/27/2021,Mar-21,$0.78 ,$1.31 ,After Close,0.53,67.95%
GOOGL,2/2/2021,Dec-20,$0.80 ,$1.12 ,After Close,0.32,40.00%
GOOGL,10/29/2020,Sep-20,$0.57 ,$0.82 ,After Close,0.25,43.86%
GOOGL,7/30/2020,Jun-20,$0.42 ,$0.51 ,After Close,0.09,21.43%
GOOGL,4/28/2020,Mar-20,$0.52 ,$0.49 ,After Close,-0.03,-5.77%
GOOGL,2/3/2020,Dec-19,$0.64 ,$0.77 ,After Close,0.13,20.31%
GOOGL,10/28/2019,Sep-19,$0.63 ,$0.51 ,After Close,-0.12,-19.05%
GOOGL,7/25/2019,Jun-19,$0.57 ,$0.71 ,After Close,0.14,24.56%
GOOGL,4/29/2019,Mar-19,$0.53 ,$0.60 ,After Close,0.07,13.21%
GOOGL,2/4/2019,Dec-18,$0.55 ,$0.64 ,After Close,0.09,16.36%
GOOGL,10/25/2018,Sep-18,$0.53 ,$0.65 ,After Close,0.12,22.64%
GOOGL,7/23/2018,Jun-18,$0.47 ,$0.59 ,After Close,0.12,25.53%
GOOGL,4/23/2018,Mar-18,$0.46 ,$0.50 ,After Close,0.04,8.70%
GOOGL,2/1/2018,Dec-17,$0.51 ,$0.49 ,After Close,-0.02,-3.92%
GOOGL,10/26/2017,Sep-17,$0.42 ,$0.48 ,After Close,0.06,14.29%
GOOGL,7/24/2017,Jun-17,$0.22 ,$0.25 ,After Close,0.03,13.64%
GOOGL,4/27/2017,Mar-17,$0.37 ,$0.39 ,After Close,0.02,5.41%
GOOGL,1/26/2017,Dec-16,$0.48 ,$0.47 ,After Close,-0.01,-2.08%
GOOGL,10/27/2016,Sep-16,$0.43 ,$0.45 ,After Close,0.02,4.65%
GOOGL,7/28/2016,Jun-16,$0.40 ,$0.42 ,After Close,0.02,5.00%
GOOGL,4/21/2016,Mar-16,$0.40 ,$0.38 ,After Close,-0.02,-5.00%
GOOGL,2/1/2016,Dec-15,$0.41 ,$0.43 ,After Close,0.02,4.88%
GOOGL,10/22/2015,Sep-15,$0.36 ,$0.37 ,After Close,0.01,2.78%
GOOGL,7/16/2015,Jun-15,$0.34 ,$0.35 ,After Close,0.01,2.94%
GOOGL,4/23/2015,Mar-15,$0.33 ,$0.33 ,After Close,0,0.00%
GOOGL,1/29/2015,Dec-14,$0.36 ,$0.34 ,After Close,-0.02,-5.56%
GOOGL,10/16/2014,Sep-14,$0.32 ,$0.32 ,After Close,0,0.00%
GOOGL,7/17/2014,Jun-14,$0.31 ,$0.30 ,After Close,-0.01,-3.23%
GOOGL,4/16/2014,Mar-14,$0.37 ,$0.31 ,After Close,-0.06,-16.22%
GOOG,7/26/2022,Jun-22,$1.27 ,$1.21 ,After Close,-0.06,-4.72%
GOOG,4/26/2022,Mar-22,$1.29 ,$1.23 ,After Close,-0.06,-4.65%
GOOG,2/1/2022,Dec-21,$1.33 ,$1.53 ,After Close,0.2,15.04%
GOOG,10/26/2021,Sep-21,$1.16 ,$1.40 ,After Close,0.24,20.69%
GOOG,7/27/2021,Jun-21,$0.99 ,$1.36 ,After Close,0.37,37.37%
GOOG,4/27/2021,Mar-21,$0.78 ,$1.31 ,After Close,0.53,67.95%
GOOG,2/2/2021,Dec-20,$0.80 ,$1.12 ,After Close,0.32,40.00%
GOOG,10/29/2020,Sep-20,$0.57 ,$0.82 ,After Close,0.25,43.86%
GOOG,7/30/2020,Jun-20,$0.42 ,$0.51 ,After Close,0.09,21.43%
GOOG,4/28/2020,Mar-20,$0.52 ,$0.49 ,After Close,-0.03,-5.77%
GOOG,2/3/2020,Dec-19,$0.64 ,$0.77 ,After Close,0.13,20.31%
GOOG,10/28/2019,Sep-19,$0.63 ,$0.51 ,After Close,-0.12,-19.05%
GOOG,7/25/2019,Jun-19,$0.57 ,$0.71 ,After Close,0.14,24.56%
GOOG,4/29/2019,Mar-19,$0.53 ,$0.60 ,After Close,0.07,13.21%
GOOG,2/4/2019,Dec-18,--,$0.64 ,After Close,-,-
GOOG,10/25/2018,Sep-18,--,$0.65 ,After Close,-,-
GOOG,7/23/2018,Jun-18,--,$0.59 ,After Close,-,-
GOOG,4/23/2018,Mar-18,--,$0.50 ,After Close,-,-
GOOG,2/1/2018,Dec-17,--,$0.49 ,After Close,-,-
GOOG,10/26/2017,Sep-17,--,$0.48 ,After Close,-,-
GOOG,7/24/2017,Jun-17,--,$0.25 ,After Close,-,-
GOOG,4/27/2017,Mar-17,--,$0.39 ,After Close,-,-
GOOG,1/26/2017,Dec-16,--,$0.47 ,After Close,-,-
GOOG,10/27/2016,Sep-16,--,$0.45 ,After Close,-,-
GOOG,7/28/2016,Jun-16,--,$0.42 ,After Close,-,-
GOOG,4/21/2016,Mar-16,--,$0.38 ,After Close,-,-
GOOG,2/1/2016,Dec-15,--,$0.43 ,After Close,-,-
GOOG,10/22/2015,Sep-15,--,$0.37 ,After Close,-,-
GOOG,7/16/2015,Jun-15,--,$0.35 ,After Close,-,-
GOOG,4/23/2015,Mar-15,--,$0.33 ,After Close,-,-
GOOG,1/29/2015,Dec-14,--,$0.34 ,After Close,-,-
GOOG,10/16/2014,Sep-14,--,$0.32 ,After Close,-,-
GOOG,7/17/2014,Jun-14,--,$0.30 ,After Close,-,-
GOOG,4/16/2014,Mar-14,$0.32 ,$0.31 ,After Close,-0.01,-3.13%
GOOG,1/30/2014,Dec-13,$0.62 ,$0.60 ,After Close,-0.02,-3.23%
GOOG,10/17/2013,Sep-13,$0.52 ,$0.54 ,After Close,0.02,3.85%
GOOG,7/18/2013,Jun-13,$0.54 ,$0.48 ,After Close,-0.06,-11.11%
GOOG,4/18/2013,Mar-13,$0.53 ,$0.58 ,After Close,0.05,9.43%
GOOG,1/22/2013,Dec-12,$0.53 ,$0.53 ,After Close,0,0.00%
GOOG,10/18/2012,Sep-12,$0.53 ,$0.45 ,After Close,-0.08,-15.09%
GOOG,7/19/2012,Jun-12,--,$0.50 ,After Close,-,-
GOOG,4/12/2012,Mar-12,--,$0.50 ,After Close,-,-
BRK-B,8/6/2022,Jun-22,$2.94 ,$4.20 ,--,1.26,42.86%
BRK-B,4/30/2022,Mar-22,$2.77 ,$3.18 ,Before Open,0.41,14.80%
BRK-B,2/26/2022,Dec-21,$2.79 ,$3.27 ,Before Open,0.48,17.20%
BRK-B,11/6/2021,Sep-21,$3.01 ,$2.87 ,--,-0.14,-4.65%
BRK-B,8/7/2021,Jun-21,$2.52 ,$2.94 ,Before Open,0.42,16.67%
BRK-B,5/1/2021,Mar-21,$2.58 ,$3.05 ,Before Open,0.47,18.22%
BRK-B,2/27/2021,Dec-20,$2.34 ,$2.15 ,Before Open,-0.19,-8.12%
BRK-B,11/7/2020,Sep-20,$2.29 ,$2.30 ,--,0.01,0.44%
BRK-B,8/8/2020,Jun-20,$2.18 ,$2.28 ,Before Open,0.1,4.59%
BRK-B,5/2/2020,Mar-20,$2.42 ,$2.41 ,Before Open,-0.01,-0.41%
BRK-B,2/22/2020,Dec-19,$2.53 ,$1.81 ,--,-0.72,-28.46%
BRK-B,11/2/2019,Sep-19,$2.78 ,$3.21 ,--,0.43,15.47%
BRK-B,8/3/2019,Jun-19,$2.71 ,$2.50 ,--,-0.21,-7.75%
BRK-B,5/4/2019,Mar-19,$2.39 ,$2.26 ,--,-0.13,-5.44%
BRK-B,2/23/2019,Dec-18,$2.23 ,$2.32 ,--,0.09,4.04%
BRK-B,11/3/2018,Sep-18,$2.50 ,$2.79 ,--,0.29,11.60%
BRK-B,8/4/2018,Jun-18,$2.27 ,$2.79 ,Before Open,0.52,22.91%
BRK-B,5/5/2018,Mar-18,$2.01 ,$2.14 ,Before Open,0.13,6.47%
BRK-B,2/24/2018,Dec-17,$1.77 ,$1.35 ,--,-0.42,-23.73%
BRK-B,11/3/2017,Sep-17,$1.88 ,$1.40 ,--,-0.48,-25.53%
BRK-B,8/4/2017,Jun-17,$1.85 ,$1.67 ,--,-0.18,-9.73%
BRK-B,5/5/2017,Mar-17,$1.71 ,$1.44 ,--,-0.27,-15.79%
BRK-B,2/25/2017,Dec-16,--,$1.78 ,--,-,-
BRK-B,11/4/2016,Sep-16,$1.88 ,$1.97 ,--,0.09,4.79%
BRK-B,8/5/2016,Jun-16,$1.84 ,$1.87 ,--,0.03,1.63%
BRK-B,5/6/2016,Mar-16,$1.75 ,$1.52 ,--,-0.23,-13.14%
BRK-B,2/27/2016,Dec-15,$1.75 ,$1.89 ,--,0.14,8.00%
BRK-B,11/6/2015,Sep-15,$1.90 ,$1.85 ,--,-0.05,-2.63%
BRK-B,8/7/2015,Jun-15,$2.13 ,$1.58 ,--,-0.55,-25.82%
BRK-B,5/1/2015,Mar-15,$1.62 ,$1.73 ,--,0.11,6.79%
BRK-B,2/28/2015,Dec-14,$1.80 ,$1.61 ,--,-0.19,-10.56%
BRK-B,11/7/2014,Sep-14,$1.70 ,$1.91 ,--,0.21,12.35%
BRK-B,8/1/2014,Jun-14,--,$2.59 ,--,-,-
BRK-B,5/2/2014,Mar-14,$1.45 ,$1.43 ,--,-0.02,-1.38%
BRK-B,11/1/2013,Sep-13,$1.60 ,$1.49 ,--,-0.11,-6.88%
BRK-B,8/2/2013,Jun-13,--,$1.84 ,--,-,-
BRK-B,5/3/2013,Mar-13,$1.30 ,$1.98 ,--,0.68,52.31%
BRK-B,3/1/2013,Dec-12,$1.13 ,$1.14 ,--,0.01,0.88%
BRK-B,11/2/2012,Sep-12,$1.38 ,$1.58 ,--,0.2,14.49%
UNH,7/15/2022,Jun-22,$5.24 ,$5.57 ,Before Open,0.33,6.30%
UNH,4/14/2022,Mar-22,$5.40 ,$5.49 ,Before Open,0.09,1.67%
UNH,1/19/2022,Dec-21,$4.30 ,$4.48 ,Before Open,0.18,4.19%
UNH,10/14/2021,Sep-21,$4.41 ,$4.52 ,Before Open,0.11,2.49%
UNH,7/15/2021,Jun-21,$4.41 ,$4.70 ,Before Open,0.29,6.58%
UNH,4/15/2021,Mar-21,$4.42 ,$5.31 ,Before Open,0.89,20.14%
UNH,1/20/2021,Dec-20,$2.39 ,$2.52 ,Before Open,0.13,5.44%
UNH,10/14/2020,Sep-20,$2.98 ,$3.51 ,Before Open,0.53,17.79%
UNH,7/15/2020,Jun-20,$5.18 ,$7.12 ,Before Open,1.94,37.45%
UNH,4/15/2020,Mar-20,$3.64 ,$3.72 ,Before Open,0.08,2.20%
UNH,1/15/2020,Dec-19,$3.77 ,$3.90 ,Before Open,0.13,3.45%
UNH,10/15/2019,Sep-19,$3.75 ,$3.88 ,Before Open,0.13,3.47%
UNH,7/18/2019,Jun-19,$3.46 ,$3.60 ,Before Open,0.14,4.05%
UNH,4/16/2019,Mar-19,$3.60 ,$3.73 ,Before Open,0.13,3.61%
UNH,1/15/2019,Dec-18,$3.20 ,$3.28 ,Before Open,0.08,2.50%
UNH,10/16/2018,Sep-18,$3.30 ,$3.41 ,Before Open,0.11,3.33%
UNH,7/17/2018,Jun-18,$3.03 ,$3.14 ,Before Open,0.11,3.63%
UNH,4/17/2018,Mar-18,$2.92 ,$3.04 ,Before Open,0.12,4.11%
UNH,1/16/2018,Dec-17,$2.50 ,$2.59 ,Before Open,0.09,3.60%
UNH,10/17/2017,Sep-17,$2.57 ,$2.66 ,Before Open,0.09,3.50%
UNH,7/18/2017,Jun-17,$2.38 ,$2.46 ,Before Open,0.08,3.36%
UNH,4/18/2017,Mar-17,$2.18 ,$2.37 ,Before Open,0.19,8.72%
UNH,1/17/2017,Dec-16,$2.07 ,$2.11 ,Before Open,0.04,1.93%
UNH,10/18/2016,Sep-16,$2.08 ,$2.17 ,Before Open,0.09,4.33%
UNH,7/19/2016,Jun-16,$1.89 ,$1.96 ,Before Open,0.07,3.70%
UNH,4/19/2016,Mar-16,$1.72 ,$1.81 ,Before Open,0.09,5.23%
UNH,1/19/2016,Dec-15,$1.37 ,$1.40 ,Before Open,0.03,2.19%
UNH,10/15/2015,Sep-15,$1.64 ,$1.65 ,Before Open,0.01,0.61%
UNH,7/16/2015,Jun-15,$1.57 ,$1.64 ,Before Open,0.07,4.46%
UNH,4/16/2015,Mar-15,$1.33 ,$1.46 ,Before Open,0.13,9.77%
UNH,1/21/2015,Dec-14,$1.50 ,$1.55 ,Before Open,0.05,3.33%
UNH,10/16/2014,Sep-14,$1.53 ,$1.63 ,Before Open,0.1,6.54%
UNH,7/17/2014,Jun-14,$1.25 ,$1.42 ,Before Open,0.17,13.60%
UNH,4/17/2014,Mar-14,$1.09 ,$1.10 ,Before Open,0.01,0.92%
UNH,1/16/2014,Dec-13,$1.40 ,$1.41 ,Before Open,0.01,0.71%
UNH,10/17/2013,Sep-13,$1.54 ,$1.53 ,Before Open,-0.01,-0.65%
UNH,7/18/2013,Jun-13,$1.27 ,$1.40 ,Before Open,0.13,10.24%
