article_link	ticker	date	ticker_from_text	rev_and_earnings_positive_sentence_score	rev_and_earnings_negative_sentence_score	rev_and_earnings_profit_positive_sentence_score	rev_and_earnings_profit_negative_sentence_score	rev_positive_sentence_score	rev_negative_sentence_score	earnings_positive_sentence_score	earnings_negative_sentence_score
/article/247197-apple-management-discusses-q1-2011-results-earnings-call-transcript	AAPL	1/18/2011	AAPL	0.001569859	0	0	0	0.020408163	0	0.003139717	0
/article/230710-apples-ceo-discusses-f4q10-results-earnings-call-transcript	AAPL	10/18/2010	AAPL	0.001412429	0	0	0	0.011299435	0	0.004237288	0
/article/215492-apple-inc-f3q10-qtr-end-06-26-10-earnings-call-transcript	AAPL	7/20/2010	AAPL	0	0	0	0	0.011363636	0.001262626	0	0
/article/199800-apple-inc-f2q10-qtr-end-03-27-10-earnings-call-transcript	AAPL	4/20/2010	AAPL	0	0	0	0	0.009485095	0.002710027	0	0
/article/184328-apple-inc-f1q10-qtr-end-12-26-09-earnings-call-transcript	AAPL	1/25/2010	AAPL	0.001443001	0	0	0	0.024531025	0.002886003	0.002886003	0
/article/4527231-apple-inc-aapl-ceo-tim-cook-on-q3-2022-results-earnings-call-transcript	AAPL	7/28/2022	AAPL	0	0	0	0	0.012519562	0	0.001564945	0
/article/4504834-apple-inc-aapl-ceo-tim-cook-on-q2-2022-results-earnings-call-transcript	AAPL	4/28/2022	AAPL	0.00135318	0	0	0	0.01082544	0	0.00135318	0
/article/4482308-apple-inc-aapl-ceo-tim-cook-on-q1-2022-results-earnings-call-transcript	AAPL	1/27/2022	AAPL	0	0	0	0	0.01453958	0	0	0
/article/4463261-apple-inc-aapl-ceo-tim-cook-on-q4-2021-results-earnings-call-transcript	AAPL	10/28/2021	AAPL	0	0	0	0	0.01035503	0	0	0
/article/4441901-apple-inc-aapl-ceo-tim-cook-on-q3-2021-results-earnings-call-transcript	AAPL	7/27/2021	AAPL	0	0	0	0	0.009536785	0	0	0
/article/4422230-apple-inc-aapl-ceo-tim-cook-on-q2-2021-results-earnings-call-transcript	AAPL	4/28/2021	AAPL	0.001515152	0	0	0	0.022727273	0.001515152	0.001515152	0
/article/4401478-apple-inc-aapl-ceo-tim-cook-on-q1-2021-results-earnings-call-transcript	AAPL	1/27/2021	AAPL	0	0	0	0	0.018604651	0	0	0
/article/4382943-apple-inc-aapl-ceo-tim-cook-on-q4-2020-results-earnings-call-transcript	AAPL	10/29/2020	AAPL	0	0	0	0	0.019769357	0	0.001647446	0
/article/4362707-apple-inc-aapl-ceo-tim-cook-on-q3-2020-results-earnings-call-transcript	AAPL	7/30/2020	AAPL	0	0	0	0	0.012638231	0	0	0
