Tickers,Min Date,Max Date
K,1/1/2008,8/4/2022
MPWR,1/1/2008,8/1/2022
DOV,1/1/2008,7/21/2022
MRO,1/1/2008,8/3/2022
WAT,1/1/2008,8/2/2022
AMCR,1/1/2008,8/17/2022
BALL,1/1/2008,8/4/2022
ALGN,1/1/2008,7/27/2022
CFG,1/1/2008,7/19/2022
VRSN,1/1/2008,7/28/2022
PFG,1/1/2008,8/8/2022
CLX,1/1/2008,8/3/2022
AES,1/1/2008,8/4/2022
HPE,1/1/2008,8/30/2022
ESS,1/1/2008,7/26/2022
EXPD,1/1/2008,8/2/2022
TDY,1/1/2008,7/27/2022
HOLX,1/1/2008,7/27/2022
PKI,1/1/2008,8/1/2022
PAYC,1/1/2008,8/2/2022
CAG,1/1/2008,7/14/2022
XYL,1/1/2008,8/2/2022
KEY,1/1/2008,7/21/2022
WAB,1/1/2008,8/5/2022
FDS,1/1/2008,6/23/2022
FLT,1/1/2008,8/3/2022
SWKS,1/1/2008,8/4/2022
DRI,1/1/2008,6/23/2022
SYF,1/1/2008,7/18/2022
ATO,1/1/2008,8/3/2022
NTAP,1/1/2008,8/24/2022
ZBRA,1/1/2008,8/2/2022
CTLT,1/1/2008,8/29/2022
MTCH,1/1/2008,8/2/2022
EVRG,1/1/2008,8/4/2022
TRMB,1/1/2008,8/5/2022
J,1/1/2008,8/1/2022
EXPE,1/1/2008,8/4/2022
LNT,1/1/2008,8/4/2022
AVY,1/1/2008,7/27/2022
IP,1/1/2008,7/28/2022
CHRW,1/1/2008,7/27/2022
IEX,1/1/2008,7/26/2022
SJM,1/1/2008,8/23/2022
IRM,1/1/2008,8/4/2022
DGX,1/1/2008,7/21/2022
SEDG,1/1/2008,8/2/2022
TYL,1/1/2008,7/27/2022
BRO,1/1/2008,7/25/2022
COO,1/1/2008,8/31/2022
LKQ,1/1/2008,7/28/2022
CINF,1/1/2008,7/27/2022
BBY,1/1/2008,8/30/2022
AKAM,1/1/2008,8/9/2022
KMX,1/1/2008,6/24/2022
JBHT,1/1/2008,7/19/2022
JKHY,1/1/2008,8/16/2022
GNRC,1/1/2008,8/3/2022
PARA,1/1/2008,8/4/2022
PEAK,1/1/2008,8/2/2022
OMC,1/1/2008,7/19/2022
TXT,1/1/2008,7/28/2022
